SIVIMID,Country,Date,Sintaxon,Area,Accuracy,Elevation,Aspect,Slope,Plant.Cover,Locality,Latitude,Longitude
NEW-OMAR-NI01,ES,2020,,1,10,203,,0,98,Nitrastur,43.3133463,-5.702776474
NEW-OMAR-NI02,ES,2020,,1,10,203,,0,49,Nitrastur,43.31314554,-5.702508627
NEW-OMAR-NI03,ES,2020,,1,10,203,,0,119,Nitrastur,43.31295465,-5.702204227
NEW-OMAR-NI04,ES,2020,,1,10,204,,0,119.5,Nitrastur,43.31260214,-5.701880334
NEW-OMAR-NI05,ES,2020,,1,10,203,,0,69,Nitrastur,43.31266459,-5.701143268
NEW-OMAR-NI06,ES,2020,,1,10,203,,0,96,Nitrastur,43.31290077,-5.701055091
NEW-OMAR-NI07,ES,2020,,1,10,202,,0,180.5,Nitrastur,43.31307545,-5.700902534
NEW-OMAR-NI08,ES,2020,,1,10,201,,0,210,Nitrastur,43.31343495,-5.700930797
NEW-OMAR-NI09,ES,2020,,1,10,201,,0,191,Nitrastur,43.31341146,-5.700781787
NEW-OMAR-NI10,ES,2020,,1,10,201,,0,100.5,Nitrastur,43.31365576,-5.70073096
NEW-OMAR-MO01,ES,2020,,1,10,224,,0,130.5,Modesta,43.29204762,-5.680778937
NEW-OMAR-MO02,ES,2020,,1,10,223,,0,108,Modesta,43.29174898,-5.680075536
NEW-OMAR-MO03,ES,2020,,1,10,223,,0,104.5,Modesta,43.29130174,-5.679180719
NEW-OMAR-MO04,ES,2020,,1,10,224,,0,96.5,Modesta,43.29095633,-5.678167126
NEW-OMAR-MO05,ES,2020,,1,10,225,,0,104,Modesta,43.29051601,-5.676976812
NEW-OMAR-MO06,ES,2020,,1,10,226,,0,94.5,Modesta,43.29065854,-5.677426808
NEW-OMAR-MO07,ES,2020,,1,10,227,,0,115,Modesta,43.29080929,-5.678678368
NEW-OMAR-MO08,ES,2020,,1,10,226,,0,109,Modesta,43.29113844,-5.67961729
NEW-OMAR-MO09,ES,2020,,1,10,230,,0,108.5,Modesta,43.29123743,-5.680003752
NEW-OMAR-MO10,ES,2020,,1,10,233,,0,100,Modesta,43.29063565,-5.679940332
NEW-OMAR-CA01,ES,2020,,1,10,252,,0,167.5,Cadavio,43.27902792,-5.673083717
NEW-OMAR-CA02,ES,2020,,1,10,252,,0,139.5,Cadavio,43.2791419,-5.67282991
NEW-OMAR-CA03,ES,2020,,1,10,254,,0,127,Cadavio,43.27897884,-5.672872063
NEW-OMAR-CA04,ES,2020,,1,10,255,,0,62,Cadavio,43.27875325,-5.673663223
NEW-OMAR-CA05,ES,2020,,1,10,257,,0,143,Cadavio,43.27829566,-5.673593878
NEW-OMAR-CA06,ES,2020,,1,10,254,,0,131,Cadavio,43.27855097,-5.673457181
NEW-OMAR-CA07,ES,2020,,1,10,254,,0,107.5,Cadavio,43.27868093,-5.673290343
NEW-OMAR-CA08,ES,2020,,1,10,255,,0,137.5,Cadavio,43.27870267,-5.673131087
NEW-OMAR-CA09,ES,2020,,1,10,256,,0,108.5,Cadavio,43.27872316,-5.6741795
NEW-OMAR-CA10,ES,2020,,1,10,257,,0,102.5,Cadavio,43.27800681,-5.674394578
NEW-OMAR-BA01,ES,1981,,NA,500,190,,0,NA,Barros,43.32530597,-5.707241301
NEW-OMAR-BA02,ES,1981,Picridi echioides-Melilotetum albi,200,500,190,,0,40,Barros,43.32530597,-5.707241301
NEW-OMAR-BA03,ES,1981,Comunidad de Salix angustifolia,30,500,190,,0,50,Barros,43.32530597,-5.707241301
NEW-OMAR-BA04,ES,1981,Comunidad de Salix angustifolia,150,500,190,,0,50,Barros,43.32530597,-5.707241301
NEW-OMAR-BA05,ES,1981,Fumario capreolatae-Veronicetum persicae,10,500,190,,0,80,Barros,43.32530597,-5.707241301
NEW-OMAR-BA06,ES,1981,Fumario capreolatae-Veronicetum persicae,50,500,190,,0,50,Barros,43.32530597,-5.707241301
NEW-OMAR-LC07,ES,1981,,NA,500,325,,NA,NA,La Carrera,43.31689226,-5.682204615
NEW-OMAR-BA08,ES,1981,Comunidad de Equisetum telmateia,15,500,225,SO,5,100,Barros,43.32559713,-5.694921052
NEW-OMAR-LF09,ES,1981,Hyperico androsaemi-Alnetum,600,500,225,,0,100,La Felguera,43.30818588,-5.669491805
NEW-OMAR-LF10,ES,1981,Sisymbrio officinalis-Hordeetum murini,9,500,210,,0,70,La Felguera,43.31689226,-5.682204615
NEW-OMAR-LF11,ES,1981,Lino-Cynosuretum,200,500,260,S,10,100,La Felguera,43.31689226,-5.682204615
NEW-OMAR-BA12,ES,1981,Comunidad de Arctium minus y Artemisia vulgaris,4,500,190,,0,90,Barros,43.32530597,-5.707241301
NEW-OMAR-BA13,ES,1981,Comunidad de Arctium minus y Artemisia vulgaris,9,500,190,,20,100,Barros,43.32530597,-5.707241301
NEW-OMAR-BA14,ES,1981,Lino-Cynosuretum,40,500,225,S,5,100,Barros,43.32530597,-5.707241301
NEW-OMAR-BA15,ES,1981,Comunidad de Arctium minus y Artemisia vulgaris,9,500,190,S,20,100,Barros,43.32530597,-5.707241301
NEW-OMAR-PA16,ES,1981,Daboecio-Ulicetum cantabrici,25,500,360,O,20,80,Pajomal,43.30818588,-5.669491805
NEW-OMAR-PA17,ES,1981,Daboecio-Ulicetum cantabrici,40,500,360,E,5,100,Pajomal,43.30818588,-5.669491805
NEW-OMAR-BA18,ES,1981,Blechno spicanti-Quercetum roboris,100,500,225,SO,10,160,Barros,43.32559713,-5.694921052
NEW-OMAR-BA19,ES,1981,Blechno spicanti-Quercetum roboris,300,500,225,O,15,170,Barros,43.32559713,-5.694921052
NEW-OMAR-BA20,ES,1981,Comunidad de Poa annua,1,500,225,SO,10,35,Barros,43.32559713,-5.694921052
NEW-OMAR-CC21,ES,1981,,NA,500,280,,NA,NA,Campo Carrera,43.32588696,-5.682600619
NEW-OMAR-CC22,ES,1981,Blechno spicanti-Quercetum roboris,300,500,280,O,15,170,Campo Carrera,43.32588696,-5.682600619
NEW-OMAR-CC23,ES,1981,Lolio-Plantaginetum majoris,4,500,280,,0,40,Campo Carrera,43.32588696,-5.682600619
NEW-OMAR-CC24,ES,1981,,NA,500,280,,NA,NA,Campo Carrera,43.32588696,-5.682600619
NEW-OMAR-CC25,ES,1981,Blechno spicanti-Quercetum roboris,300,500,280,NE,10,120,Campo Carrera,43.32588696,-5.682600619
NEW-OMAR-LF26,ES,1981,,NA,500,215,,NA,NA,La Felguera,43.30818588,-5.669491805
NEW-OMAR-RE27,ES,1981,Comunidad de Poa annua,3,500,225,O,5,50,Respinedo,43.30818588,-5.669491805
NEW-OMAR-RE28,ES,1981,Blechno spicanti-Quercetum roboris,300,500,225,O,10,120,Respinedo,43.30818588,-5.669491805
NEW-OMAR-RE29,ES,1981,Blechno spicanti-Quercetum roboris,70,500,225,SO,20,140,Respinedo,43.30818588,-5.669491805
NEW-OMAR-PA30,ES,1981,Comunidad de Poa annua,3,500,340,,0,40,Pajomal,43.30847288,-5.657174634
NEW-OMAR-PA31,ES,1981,Blechno spicanti-Quercetum roboris,100,500,340,NO,5,150,Pajomal,43.30847288,-5.657174634
NEW-OMAR-PA32,ES,1981,Blechno spicanti-Quercetum roboris,150,500,340,NO,5,180,Pajomal,43.30847288,-5.657174634
NEW-OMAR-BA33,ES,1981,Blechno spicanti-Quercetum roboris,200,500,190,SO,10,190,Barros,43.32530597,-5.707241301
NEW-OMAR-BA34,ES,1981,Fumario capreolatae-Veronicetum persicae,16,500,295,SE,5,40,Barros,43.31660252,-5.694523235
NEW-OMAR-PA35,ES,1981,Fumario capreolatae-Veronicetum persicae,20,500,335,S,5,60,Pajomal,43.30818588,-5.669491805
NEW-OMAR-RE36,ES,1981,Comunidad de Adenocarpus complicatus,20,500,220,SE,10,100,Respinedo,43.30818588,-5.669491805
NEW-OMAR-RE37,ES,1981,,NA,500,215,,NA,NA,Respinedo,43.30818588,-5.669491805
NEW-OMAR-BA38,ES,1981,Fumario capreolatae-Veronicetum persicae,15,500,190,,0,80,Barros,43.32530597,-5.707241301
NEW-OMAR-BA39,ES,1981,Comunidad de Juncus inflexus y Mentha aquatica,5,500,190,,0,100,Barros,43.32530597,-5.707241301
NEW-OMAR-BA40,ES,1981,Comunidad de Juncus inflexus y Mentha aquatica,20,500,190,,0,100,Barros,43.32530597,-5.707241301
NEW-OMAR-BA41,ES,1981,Comunidad de Typha latifolia,30,500,190,,0,100,Barros,43.32530597,-5.707241301
NEW-OMAR-BA42,ES,1981,Fumario capreolatae-Veronicetum persicae,4,500,190,S,5,80,Barros,43.32530597,-5.707241301
NEW-OMAR-BA43,ES,1981,Fumario capreolatae-Veronicetum persicae,12,500,190,,0,60,Barros,43.32530597,-5.707241301
NEW-OMAR-CO44,ES,1981,,NA,500,230,,NA,NA,Cortina,43.32559713,-5.694921052
NEW-OMAR-PA45,ES,1981,Blechno spicanti-Quercetum roboris,200,500,325,SO,10,140,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA46,ES,1981,Blechno spicanti-Quercetum roboris,60,500,310,SO,0,140,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA47,ES,1981,Blechno spicanti-Quercetum roboris,40,500,310,SO,20,NA,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA48,ES,1981,Blechno spicanti-Quercetum roboris,20,500,340,SE,10,30,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA49,ES,1981,Comunidad de Adenocarpus complicatus,20,500,340,SE,10,100,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA50,ES,1981,Blechno spicanti-Quercetum roboris,70,500,360,S,5,40,Pajomal,43.23651311,-5.654043577
NEW-OMAR-LF51,ES,1981,Lino-Cynosuretum,40,500,245,SE,5,100,La Felguera,43.31689226,-5.682204615
NEW-OMAR-LF52,ES,1981,Lino-Cynosuretum,150,500,260,S,10,100,La Felguera,43.31689226,-5.682204615
NEW-OMAR-BA53,ES,1981,Lino-Cynosuretum,40,500,225,SE,5,100,Barros,43.32530597,-5.707241301
NEW-OMAR-LT54,ES,1981,Lino-Cynosuretum,100,500,300,S,15,100,La Tabierna,43.33430047,-5.707641115
NEW-OMAR-PA55,ES,1981,Blechno spicanti-Quercetum roboris,80,500,260,S,20,140,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA56,ES,1981,Blechno spicanti-Quercetum roboris,130,500,275,SO,10,NA,Pajomal,43.23651311,-5.654043577
NEW-OMAR-LL57,ES,1981,,NA,500,325,,NA,NA,Lláscaras,43.23651311,-5.654043577
NEW-OMAR-BA58,ES,1981,Sisymbrio officinalis-Hordeetum murini,100,500,200,,10,95,Barros,43.32559713,-5.694921052
NEW-OMAR-CO59,ES,1981,,NA,500,225,,NA,NA,Cortina,43.32559713,-5.694921052
NEW-OMAR-CO60,ES,1981,,NA,500,275,,NA,NA,Cortina,43.32559713,-5.694921052
NEW-OMAR-CO61,ES,1981,Comunidad de Salix alba y Salix atrocinerea,30,500,230,,0,120,Cortina,43.32559713,-5.694921052
NEW-OMAR-CO62,ES,1981,Comunidad de Salix alba y Salix atrocinerea,15,500,235,,0,140,Cortina,43.32559713,-5.694921052
NEW-OMAR-CO63,ES,1981,Comunidad de Salix alba y Salix atrocinerea,20,500,240,,0,120,Cortina,43.32559713,-5.694921052
NEW-OMAR-CO64,ES,1981,,NA,500,270,,NA,NA,Cortina,43.32559713,-5.694921052
NEW-OMAR-CO65,ES,1981,,NA,500,240,,NA,NA,Cortina,43.32559713,-5.694921052
NEW-OMAR-CO66,ES,1981,Lino-Cynosuretum,100,500,280,SE,15,100,Cortina,43.32559713,-5.694921052
NEW-OMAR-PA67,ES,1981,Blechno spicanti-Quercetum roboris,200,500,275,SO,10,160,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA68,ES,1981,Comunidad de Cymbalaria muralis,10,500,425,NO,90,40,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA69,ES,1981,Blechno spicanti-Quercetum roboris,40,500,400,N,30,80,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA70,ES,1981,Daboecio-Ulicetum cantabrici,200,500,410,S,10,100,Pajomal,43.23651311,-5.654043577
NEW-OMAR-RI71,ES,1981,Daboecio-Ulicetum cantabrici,100,500,415,S,20,90,Riparape,43.23651311,-5.654043577
NEW-OMAR-RI72,ES,1981,Daboecio-Ulicetum cantabrici,80,500,425,SE,NA,130,Riparape,43.23651311,-5.654043577
NEW-OMAR-LNA73,ES,1981,Hyperico androsaemi-Alnetum,50,500,350,SO,5,170,La Nava Arriba,43.32617547,-5.670280003
NEW-OMAR-LNA74,ES,1981,,NA,500,325,,NA,NA,La Nava Arriba,43.32617547,-5.670280003
NEW-OMAR-LNA75,ES,1981,Daboecio-Ulicetum cantabrici,200,500,290,SE,10,130,La Nava Arriba,43.32617547,-5.670280003
NEW-OMAR-LNA76,ES,1981,Blechno spicanti-Quercetum roboris,200,500,275,S,5,190,La Nava Arriba,43.32617547,-5.670280003
NEW-OMAR-LC77,ES,1981,Daboecio-Ulicetum cantabrici,80,500,462,,0,90,La Carrera,43.32617547,-5.670280003
NEW-OMAR-AC78,ES,1981,Blechno spicanti-Quercetum roboris,40,500,425,S,20,10,Acebal,43.35228941,-5.708441298
NEW-OMAR-AC79,ES,1981,,NA,500,425,,NA,NA,Acebal,43.35228941,-5.708441298
NEW-OMAR-BA80,ES,1981,Comunidad de Juncus inflexus y Mentha aquatica,20,500,190,,0,90,Barros,43.32530597,-5.707241301
NEW-OMAR-BA81,ES,1981,Comunidad de Salix alba y Salix atrocinerea,100,500,190,,0,140,Barros,43.32530597,-5.707241301
NEW-OMAR-BA82,ES,1981,Comunidad de Juncus inflexus y Mentha aquatica,20,500,190,,0,100,Barros,43.32530597,-5.707241301
NEW-OMAR-BA83,ES,1981,Comunidad de Typha latifolia,200,500,190,,0,100,Barros,43.32530597,-5.707241301
NEW-OMAR-BA84,ES,1981,Comunidad de Juncus inflexus y Mentha aquatica,100,500,190,,0,95,Barros,43.32530597,-5.707241301
NEW-OMAR-BA85,ES,1981,Comunidad de Juncus inflexus y Mentha aquatica,140,500,190,,0,90,Barros,43.32530597,-5.707241301
NEW-OMAR-CC86,ES,1981,Comunidad de Cymbalaria muralis,10,500,275,NO,90,5,Campo Carrera,43.32588696,-5.682600619
NEW-OMAR-CC87,ES,1981,Blechno spicanti-Quercetum roboris,280,500,280,O,10,100,Campo Carrera,43.32588696,-5.682600619
NEW-OMAR-CC88,ES,1981,Blechno spicanti-Quercetum roboris,120,500,310,O,5,140,Campo Carrera,43.32588696,-5.682600619
NEW-OMAR-CC89,ES,1981,Blechno spicanti-Quercetum roboris,340,500,310,SO,10,190,Campo Carrera,43.32588696,-5.682600619
NEW-OMAR-CC90,ES,1981,Blechno spicanti-Quercetum roboris,150,500,300,O,15,110,Campo Carrera,43.32588696,-5.682600619
NEW-OMAR-TU91,ES,1981,Daboecio-Ulicetum cantabrici,40,500,325,O,15,100,Turiellos,43.23622682,-5.666346277
NEW-OMAR-TU92,ES,1981,Comunidad de Cymbalaria muralis,5,500,325,S,90,30,Turiellos,43.23622682,-5.666346277
NEW-OMAR-TU93,ES,1981,,NA,500,325,,NA,NA,Turiellos,43.23622682,-5.666346277
NEW-OMAR-TU94,ES,1981,,NA,500,275,,NA,NA,Turiellos,43.23622682,-5.666346277
NEW-OMAR-LF95,ES,1981,Comunidad de Arctium minus y Artemisia vulgaris,40,500,230,S,0,100,La Felguera,43.31689226,-5.682204615
NEW-OMAR-PA96,ES,1981,Daboecio-Ulicetum cantabrici,100,500,375,SO,10,160,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA97,ES,1981,Picridi echioides-Melilotetum albi,40,500,360,S,0,80,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA98,ES,1981,Sisymbrio officinalis-Hordeetum murini,15,500,360,,0,80,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA99,ES,1981,Blechno spicanti-Quercetum roboris,50,500,320,SE,15,80,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA100,ES,1981,,NA,500,325,,NA,NA,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA101,ES,1981,,NA,500,325,,NA,NA,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA102,ES,1981,Comunidad de Arctium minus y Artemisia vulgaris,20,500,325,SE,0,100,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA103,ES,1981,,NA,500,300,,NA,NA,Pajomal,43.23651311,-5.654043577
NEW-OMAR-PA104,ES,1981,Comunidad de Arctium minus y Artemisia vulgaris,80,500,250,SE,15,80,Pajomal,43.23651311,-5.654043577
NEW-OMAR-LF105,ES,1981,Comunidad de Salix angustifolia,140,500,210,,0,40,La Felguera,43.31689226,-5.682204615
NEW-OMAR-BA106,ES,1981,Comunidad de Equisetum telmateia,10,500,190,S,10,100,Barros,43.32530597,-5.707241301
NEW-OMAR-BA107,ES,1981,Comunidad de Juncus inflexus y Mentha suaveolens,2,500,190,,0,95,Barros,43.32530597,-5.707241301
NEW-OMAR-BA108,ES,1981,Lolio-Plantaginetum majoris,5,500,190,,0,60,Barros,43.32530597,-5.707241301
NEW-OMAR-LF109,ES,1981,Comunidad de Arctium minus y Artemisia vulgaris,10,500,200,,5,100,La Felguera,43.32530597,-5.707241301
